Score,Username,Review Date,Review,Hate Speech,Reasoning
4,JesseDillinger,"Jan 7, 2024","If you don't wanna see me bashing this game, this is not the review for you. This has nothing to do with the fact they're females, lesbians, or even Joel. I was enjoying the game at first, but once you play an hour or 2 of this game the entire rest of the game is the exact same thing. So the gameplay...Once you've explored one place, you've explored them all. What's that? You need loot? Here's multiple empty drawers to waste your time and a safe that has a letter next to it telling you the code anyway to pad the runtime more. You gotta get through this door? Hold triangle and slowly scooch through it. An enemy grab you or get on you? Spam square. You want an interactive cutscene? Here, we have MANY slow paced walking sections of just characters walking and talking that you can't do **** in. Have to get to a certain area AGAIN? Move this dumpster, turn on this generator, just basically press and hold triangle even MORE. Do these things over and over and over and over and over and over and over for multiple hours until you beat the game. The only good thing about The Last of Us games are the stories, and both times the story is something that feels super familiar and isn't unique in the slightest. I can't help but compare this to something like Resident Evil. But in Resident Evil the pacing is better, the gunplay is SO much better and they keep you more invested with boss fights (Well, GOOD boss fights. Like oh boy that one boss fight with Abby where if you get within a foot of it you insta die. So bad). In this game I just got so tired of sneaking, pressing triangle, press square, throw a bottle, sneak, press triangle, press square. That's the combat if you choose to be stealthy. Which they REALLY want you to do. I got so bored with stealth and just started shooting up the place as much as I could. I tried the silencers a few times, but in order to make those you gotta do the boring a*s repetitive looting. And after a few hours I got sick of looting and just started zooming through the story. The Last of Us games are proof enough for me to know that I will not like the Uncharted series. I'm a gameplay first guy and this gameplay is NOT it. Naughty Dog, it's time to change up your ****. This is like a small step above Far Cry. And I f*cking HATE Far Cry. Your gameplay is outdated and I just know The Last of Us 3 is gonna be a copy paste with maybe one or two small changes As for the story. The story isn't AWFUL, but why the f*ck am I supposed to care about Abby? I just genuinely don't care. We know Joel is a scumbag. He made a greedy choice and killed people that probably didn't deserve it. We get it. We don't need to play as Abby for 7 f*cking hours to know that Joel was in the wrong. I still don't give a **** that your dad and friends died. And you DESPERATELY wanted her to be the Joel of her story by throwing in the little Scar kid I don't give a **** about either. I've been with Ellie for about 24 hours worth of story and I care for her a little bit. You can't force me to like Abby as much as Ellie in that little amount of time. Ellie didn't learn that revenge = bad. The WHOLE game is her wanting revenge, the ONLY reason she doesn't go through with it is cause she couldn't get to Abby. Then you try to make us feel even MORE bad for Abby by making her get kidnapped and strung up. Such trash. And the ONLY reason Ellie didn't kill her is cause she just randomly had a sudden change of heart cause that **** was forced on her. You think she would've learned after killing the pregnant girl, but nope. She leaves Dina and the kid for revenge and just completely wastes her time and loses Dina in the process. TLDR: Much like Ellie's whole adventure, this game was a waste of my time. I didn't like the gameplay cause it's dull and repetitive in the worst way, the story is very weak and dumb, and I don't care about most of the people in this game. I will NOT be playing part 3. NaughtyDog is not the developer for me.",1,threat and violence
1,Futureuwu,"Jan 6, 2024","It's kinda extremely mid. Doesn't live up to its predecessor, and it definitely doesn't live up to the Sony games we're used to. 

In an attempt to subvert expectations, it's single handedly killed the franchise, as is clear with the poor sales it's received.",0,No hate speech detected
3,ReviewFreak,"Jan 5, 2024","""Despite its excellent visual presentation, music, and voice acting, The Last of Us Part II has been the subject of controversy due to narrative decisions that divided the gaming community. Some critics and players found that the direction of the story, particularly certain events and character decisions, generated polarization and disappointment among those hoping for more direct continuity with the first installment. This led to a mixed reception, with some considering that the plot choices negatively affected the overall experience of the game. , especially for those who had high expectations based on the previous installment.""",0,No hate speech detected
0,Somebody1,"Jan 5, 2024","I would give this a 4/10 but I want to balance out the stupid 10/10s. This game has some of the worst writing in games, stupid characters, most uninspired gameplay and the only thing I liked I about the game was the graphics and the somewhat alright soundtrack and sound design. This game made me so frustrated with Naughty Dog and the fact they ruined a perfect franchise.",0,No hate speech detected
4,MrWiggles117,"Jan 2, 2024","It’s like the first game, but without any likable characters and constant convoluted and boring flashbacks and unskippable scenes to remove any enjoyment you might have had.",0,No hate speech detected
0,Nekolex,"Dec 29, 2023","It was a beautifully well done game mechanically. But if you had any love for the first, and the characters and how they were written, then it is such a spit in the face… ironically because druckman inserted himself as a character to spit on Joel… there was insane disputes going on internally during its development and for good reason. Just hold the story of the first one dear to your heart, and… this Atrocity doesn’t exist for us. 
Also no online lmaoooooooolol",0,No hate speech detected
2,Silegin,"Dec 28, 2023","The idea that Ellie is angry at Joel for denying her a choice ignores the fact that the fireflies did so aswell. They took her, they drugged her, and they threatened Joels life when he questioned their motives. He had every right to go full papa wolf and the fact the game does not even allow him to defend himself is disgusting.
“There was a sequel, wasn’t as good”
 - Joel 2013",0,No hate speech detected
0,JeannWagmaker,"Dec 25, 2023","The gameplay, setting, progression and soundtrack are the most impressive you'll find in a game, but it's not worth the absurd script failure.

There is nothing anyone can say that makes sense of Joel's decision to tell his real name to a stranger -- after more than 20 years of experience in a cruel world, full of terrible people, having killed so many whose acquaintances would love to see him dead.

Just as there is no sense in Ellie's decision to have killed so many, abandon her family to obtain the revenge that absolutely everyone wanted and, in the end, save the person she was supposed to kill and who caused so much disgrace to everyone she loved.

All of these flaws are only justified if you, as a writer, wanted the story to be about an empowered woman replacing the cis straight white man, but anyone who has played both games knows that in no alternate universe would that woman beat Joel.

This game was a mistake. An error that showed how a bad script can ruin a game whose other aspects are exceptional.",1,threat and violence
1,tap_dance126,"Dec 24, 2023","Implausible story, great graphics. This game is not for those who want to experience happiness at the end of the game.",0,No hate speech detected
1,Kabhold,"Dec 22, 2023","Horrible, lazy writing. Subverting expectations doesnt make a story automatically good nor does it mean its great writing. Revenge is bad, so kill a few hundred people but dont kill the person who killed your friend. Dumb. Lazy. Writing. Gameplay is good.",1,threat and violence
