Review Title,Username,Review Date,Review,Hate Speech,Explanation
If you want a really good naughty dog game play jak and daxter or uncharted,Critic75,3 January 2024,My god this was awful from the trailers it was easy to see where the story would goHere's a basic rundown of the game for those that like mediocre productsJoel gets killed by the daughter of the Dr who operated on EllieEllie goes hunting for the killerShe hits her 3 times the killer leaves Ellie is left alone at a farm houseThe only likeable things in this game is the gameplay and the fact you get trophiesNaughty dog had a potentially good thing on their hands but chose to screw it up how this is sitting at an 8.8 on this site is beyond comprehensionThe worst thing about it is I can't get a refund.I hope naughty dog are making a better game if this gets a third entry then that's the nail on the coffin.,1.0,Hate speech detected in categories: violence
The Last of Us: Part II - A Soulless Sequel That Eviscerates Its Own Legacy,mmarab91,11 June 2023,"Prepare yourselves for a scathing critique of one of the most disappointing sequels in gaming history. ""The Last of Us: Part II"" had the audacity to ruin everything that made the first game a masterpiece, leaving players with a hollow experience devoid of agency, substance, and meaning.From the moment the game begins, it becomes apparent that the developers' main goal was shock value. Instead of crafting a narrative that built upon the deep emotional connection we had with the characters, they opted for cheap thrills and gratuitous violence. Gone are the delicate moments of tenderness that made the first game so memorable. Instead, we are bombarded with an unrelenting onslaught of gore and misery, as if the creators confused genuine emotional impact with graphic brutality.One of the most glaring issues with ""The Last of Us: Part II"" is the complete lack of agency bestowed upon the player. Your choices and actions are inconsequential, reduced to a mere spectator in a predetermined story. Any sense of immersion or investment in the outcome is swiftly shattered, leaving you feeling like a helpless bystander forced to watch as the game takes you on its joyless and convoluted journey.Moreover, this sequel somehow manages to undermine the complex and nuanced characters we grew to love in the first installment. It rewrites their personalities in the most disheartening ways, leaving fans scratching their heads in disbelief. The growth and development established in the original game are tossed aside, replaced by inconsistent character motivations and baffling plot decisions.""The Last of Us: Part II"" attempts to explore morally gray areas, but instead falls into a pit of moral ambiguity that lacks depth and fails to deliver any meaningful message. The narrative meanders through a series of disjointed events, trying desperately to shock and awe the player rather than provide a coherent and compelling story. It's as if the creators relied on shock value alone to compensate for their inability to deliver a cohesive and thought-provoking narrative.Perhaps the most damning aspect of this trainwreck is the destruction it inflicts upon the legacy of its predecessor. The original game was hailed for its emotional depth, captivating storytelling, and memorable characters. ""The Last of Us: Part II"" tramples over all those accomplishments, tarnishing the franchise with its lackluster execution and ill-conceived choices.In conclusion, ""The Last of Us: Part II"" is a soulless sequel that squanders the potential of its predecessor. It trades substance and meaning for shock value, leaving players with a bitter taste in their mouths. Any remnants of agency are stripped away, as the game takes you on a misguided and unsatisfying journey. This is a prime example of how a sequel can singlehandedly destroy everything that was great about the original. Save yourself the disappointment and avoid this abomination at all costs.",1.0,Hate speech detected in categories: violence
Awful,sierraguevara-98227,10 June 2023,"If I could give it no stars I would. This was a terrible game. I had such high expectations and it didnt work out. Making me play as the character who brutally killed Joel? Who thinks of this? And having me punch Ellie in the face again and again? I didn't even want to play the scene. Abby was the worst character. I didn't care about her friends and her part just went on and on. I was uninterested the entire game. Ellie is not charismatic or interesting in the least. Her relationship and appreciation for Joel is dead. There was no redemption in the end, they gave Joel no justice after everyone (including Ellie) treated him like crap.",1.0,Hate speech detected in categories: violence
Just another generic boring 3rd person adventure game.,strmrautn,14 May 2023,"The title says it all. This is another boring generic 3rd person adventure/action game. The story is little more detailed and complex, but other than that the gameplay is still boring. This is like every other GTA clones. Well the graphics and details are good, thanks for the neil druckmann for abusing his workers and forcing them to work overtime to deliver this detailed game. If it wasn't for neil drunkman, this game wouldn't have had better graphics, I should say. Also thanks for the brainless sony, naughty dog and neil drunkman's loyal dogs, puppies and brainwashed fantards for supporting and shilling sony, naughty dog neil. Amazing.",0.0,No hate speech detected.
Worst video game sequel ever,Josephpr1990,2 May 2023,"I started playing this game on Sony PS4 in late December 2020/early January 2021. I finished it in January same year. I thought it was going to be brilliant but it's actually not very good as its 2013 prequel. It's kinda mediocre for myself.I really don't like it.It's probably one of the worst video game sequels I have ever played.In December 2020, my sister ordered and bought herself this PS4 game from Smyths as a Christmas gift. That game actually belongs to her. If she likes it, it's perfectly fine so I let her. It's her opinion, you know.That evil wagon Abby killed our beloved character Joel. I saw it and I was absolutely shocked! I said, ""OH MY GOD!!!"" Joel is my favourite character but why did Sony/Naughty Dog want to kill him off?! Speaking of ending, it doesn't make any sense to me st all because Ellie decided to let Abby go instead of attempting to kill her as a part of her revenge for murdering Joel. It's kinda very stupid.I would never ever forgive Abby for killing my favourite character Joel. I'd say she is probably the most hated character in the entire series.I am not going to play it again ever. I'd say the first part is definitely way better than the second part.If you dislike this game, don't buy or download it from PS Store and try not to waste your money on this rubbish.",1.0,"Hate speech detected in categories: violence, individual"
What an incredible waste of time.,Bmecca88-1,10 April 2023,"I don't even know where to start on this. I know sequels are almost never as good as the originals, but they are seldom this bad. The first game was a beautiful emotional journey and this was the opposite. It's hard to believe that the same people made this game. You can't force people to care about characters, you have to tell a good story that makes us want to care. As if that wasn't bad enough, you spend far to long with these awful characters and not enough with the ones we actually care about. I sure hope season 2 of the show fixes your mistakes, and yeah they are mistakes. Read the room.",0.0,No hate speech detected.
Joel and Gay,sleviron,24 March 2023,"Killing Joel in that sluggish way, was a disgrace to the first game. And amazingly, it's written as if Ellie didn't give a single fk in the world that he died. This game is unbeliable bad. They could've killed joel that's fine, though it'd probably would have been so much better if he didn't die in this game or they could've waited and made it a climax. Hence the third game could've had a more darker setting...Why does Ellie have to be gay and further more practice it, at succh an early age? Why do they have to turn a great friendship into something sexual.... What happened with friendship? Seriously!? Is that not interesting enough? OFC! Western culture is a plague that wants everyone to be overly sexual and wants you to fk your best friend. There's no line between friendship and a romantic realationship anymore. Just fk whoever looks at you...",1.0,Hate speech detected in categories: violence
Garbage,benjamazin,16 February 2023,"The story was absolutely butchered. It was thrown together garbage. They killed Joel at the beginning of the game, after advertisements that had him in later parts. Then they force you to play as his murdered to try and make you sympathize with her. Ellie makes stupid decisions and when she has the chance to get revenge for Joel's death, she walks away after having her fingers cut off. This was the worst game I ever played. I had preordered it and have regretted it ever since. I cant believe I contributed to these game sales on day 1. I won't buy a 3rd and won't support season 2 of the show if they follow the story from the second game. They should have let it end with the 1st. The first was masterful.",1.0,"Hate speech detected in categories: violence, individual"
"Honestly not impressed, not happy, not moved, just incredibly disappointed and have lost all respect for the studio.",aidanlagrasta,8 February 2023,"I won't spoil the game but Naughty Dog studios took everything they had built for over a decade, built it up for 7 years with fan admiration and then threw it out the window, took a pile of trash and built a giant billboard pointing at it that says ""we made this for our loyal fans because we have absolutely no idea what they want.""This game tried so hard to be thought-provoking that instead of leaving us with a masterpiece, we're not only dissatisfied but disappointed beyond what words can describe.Let me put it this way: Naughty Dog took the best of themselves, made a story that gave players the deepest positive emotions and connections that it could, and then stomped it into the dirt.That's The Last of Us Part 2. A complete. And utter. Failure.Good graphics tho! However, they were better spent on the remaster of The Last of Us Part 1.",0.0,No hate speech detected.
Save yourself the heartache,skylarvice,24 January 2023,"They spit on their fans, and Druckman's ham handedness has been left unchecked (which their were signs of in part 1 with the two brothers etc.) and has been allowed to make the wrong call at almost every narrative turn.I've never been more disappointed with a creative work. Terrible. They killed Joel off in the first 20 minutes, then have you play as his completely unsympathetic killer the rest of the game. Who greenlit this? How did so much money and time get put into such a meandering, basic, unimportant narrative with literally nothing to say but ""revenge is violent and bad.""I'll never buy a product from this creative team again.",1.0,Hate speech detected in categories: violence
